Hi;Wa;Rm;Wm;Te
11000.0;4.0;1.0;4.0;50.0
8000.0;4.0;1.0;4.0;20.0
5000.0;4.0;1.0;6.0;1.0
6000.0;4.0;10.0;6.0;30.0
1160.0;4.0;10.0;6.0;30.0
300.0;4.0;1.0;4.0;53.0
2000.0;4.0;10.0;4.0;20.0
3000.0;4.0;1.0;4.0;20.0
5300.0;3.0;1.0;6.0;15.0
5030.0;3.0;1.0;6.0;15.0
8000.0;3.0;1.0;6.0;5.0
0.0;3.0;1.0;5.0;16.0
4500.0;4.0;1.0;1.0;15.0
0.0;2.0;1.0;6.0;29.0
1500.0;3.0;1.0;5.0;15.0
2000.0;3.0;1.0;6.0;15.0
18000.0;4.0;8.0;4.0;15.0
3000.0;3.0;1.0;5.0;15.0
11030.0;4.0;1.0;5.0;15.0
5500.0;4.0;8.0;4.0;9.0
1500.0;4.0;1.0;5.0;17.0
5700.0;3.0;1.0;6.0;1.0
1200.0;3.0;1.0;6.0;14.0
1300.0;4.0;1.0;5.0;14.0
5000.0;3.0;1.0;6.0;14.0
1120.0;3.0;1.0;5.0;13.0
3000.0;3.0;1.0;6.0;14.0
3000.0;3.0;1.0;5.0;18.0
0.0;3.0;10.0;6.0;12.0
5000.0;3.0;7.0;6.0;11.0
4100.0;4.0;1.0;6.0;12.0
0.0;3.0;1.0;5.0;18.0
4000.0;3.0;1.0;11.0;18.0
4000.0;3.0;1.0;6.0;14.0
4000.0;3.0;1.0;5.0;23.0
1140.0;4.0;1.0;6.0;23.0
1000.0;3.0;1.0;5.0;18.0
1140.0;3.0;1.0;6.0;17.0
1100.0;3.0;1.0;11.0;18.0
4500.0;3.0;1.0;6.0;18.0
4000.0;3.0;1.0;5.0;18.0
0.0;3.0;1.0;6.0;3.0
2280.0;4.0;1.0;6.0;23.0
6000.0;3.0;1.0;6.0;23.0
2280.0;3.0;1.0;5.0;8.0
1140.0;3.0;1.0;6.0;7.0
0.0;3.0;1.0;5.0;10.0
0.0;3.0;1.0;5.0;1.0
1140.0;3.0;1.0;4.0;7.0
2000.0;2.0;1.0;5.0;8.0
1140.0;3.0;1.0;6.0;8.0
1140.0;3.0;1.0;6.0;8.0
1140.0;3.0;1.0;5.0;8.0
1140.0;3.0;1.0;6.0;8.0
2000.0;3.0;1.0;5.0;3.0
1140.0;4.0;10.0;5.0;59.0
0.0;4.0;8.0;4.0;36.0
2280.0;4.0;1.0;4.0;50.0
1100.0;4.0;10.0;6.0;30.0
1160.0;4.0;1.0;5.0;28.0
3000.0;4.0;8.0;4.0;30.0
3000.0;4.0;1.0;6.0;1.0
1200.0;4.0;1.0;6.0;8.0
2320.0;4.0;8.0;6.0;29.0
4000.0;4.0;10.0;5.0;54.0
0.0;4.0;10.0;5.0;46.0
1160.0;4.0;10.0;6.0;30.0
1160.0;4.0;8.0;6.0;40.0
5000.0;4.0;10.0;6.0;25.0
0.0;4.0;1.0;4.0;20.0
3480.0;4.0;1.0;4.0;40.0
8000.0;4.0;10.0;5.0;3.0
1500.0;4.0;10.0;5.0;51.0
4500.0;4.0;1.0;4.0;13.0
0.0;4.0;1.0;4.0;12.0
14000.0;4.0;10.0;5.0;40.0
3100.0;4.0;8.0;4.0;3.0
1150.0;4.0;1.0;4.0;28.0
1160.0;4.0;1.0;6.0;28.0
0.0;4.0;1.0;6.0;10.0
1150.0;4.0;10.0;5.0;34.0
3000.0;4.0;1.0;4.0;12.0
0.0;4.0;1.0;4.0;4.0
10000.0;4.0;8.0;6.0;25.0
4000.0;3.0;1.0;5.0;7.0
6200.0;3.0;1.0;1.0;8.0
6200.0;3.0;1.0;1.0;4.0
5000.0;3.0;1.0;7.0;1.0
12000.0;4.0;8.0;4.0;15.0
15000.0;4.0;8.0;4.0;15.0
5500.0;3.0;1.0;6.0;16.0
1030.0;3.0;1.0;6.0;15.0
4000.0;4.0;1.0;5.0;6.0
1030.0;4.0;2.0;4.0;10.0
1030.0;3.0;1.0;6.0;16.0
3000.0;3.0;1.0;5.0;15.0
1030.0;3.0;1.0;6.0;11.0
1050.0;4.0;1.0;5.0;15.0
0.0;3.0;1.0;5.0;14.0
4000.0;3.0;1.0;5.0;1.0
16000.0;4.0;1.0;4.0;15.0
15000.0;4.0;1.0;5.0;15.0
5000.0;4.0;1.0;5.0;15.0
500.0;4.0;1.0;5.0;20.0
7030.0;3.0;1.0;6.0;15.0
5000.0;3.0;1.0;4.0;15.0
2060.0;3.0;1.0;5.0;15.0
4000.0;3.0;1.0;1.0;1.0
1050.0;3.0;1.0;5.0;15.0
3000.0;3.0;1.0;5.0;1.0
8000.0;4.0;8.0;4.0;15.0
5000.0;3.0;1.0;5.0;1.0
5200.0;3.0;1.0;6.0;15.0
5030.0;4.0;1.0;6.0;15.0
4000.0;3.0;1.0;5.0;16.0
4300.0;4.0;1.0;5.0;15.0
4000.0;4.0;1.0;11.0;10.0
1140.0;3.0;1.0;5.0;14.0
3500.0;3.0;1.0;6.0;14.0
0.0;3.0;1.0;5.0;5.0
2000.0;3.0;1.0;6.0;14.0
1150.0;4.0;1.0;5.0;15.0
4000.0;4.0;1.0;4.0;12.0
1200.0;3.0;1.0;5.0;10.0
2200.0;4.0;1.0;6.0;10.0
1200.0;4.0;1.0;6.0;14.0
3820.0;3.0;1.0;6.0;14.0
1960.0;3.0;1.0;6.0;12.0
1150.0;3.0;1.0;5.0;14.0
1150.0;4.0;1.0;5.0;14.0
2506.0;4.0;1.0;5.0;15.0
1000.0;3.0;1.0;5.0;7.0
3000.0;3.0;1.0;6.0;12.0
2210.0;4.0;1.0;5.0;14.0
0.0;3.0;1.0;6.0;15.0
5000.0;3.0;1.0;6.0;14.0
3000.0;4.0;1.0;1.0;15.0
1120.0;4.0;1.0;5.0;11.0
1100.0;3.0;1.0;6.0;15.0
1000.0;3.0;1.0;5.0;10.0
1100.0;3.0;1.0;6.0;10.0
6000.0;4.0;1.0;5.0;12.0
2140.0;3.0;1.0;11.0;7.0
2000.0;3.0;1.0;5.0;7.0
0.0;3.0;1.0;6.0;18.0
1000.0;3.0;10.0;5.0;5.0
1100.0;2.0;1.0;11.0;18.0
2200.0;3.0;1.0;11.0;18.0
1000.0;3.0;1.0;11.0;18.0
0.0;2.0;1.0;5.0;1.0
1000.0;3.0;1.0;5.0;1.0
1100.0;3.0;1.0;11.0;17.0
1100.0;4.0;10.0;6.0;17.0
3000.0;3.0;1.0;6.0;12.0
2000.0;3.0;1.0;6.0;2.0
4000.0;3.0;1.0;6.0;12.0
1100.0;3.0;1.0;11.0;12.0
3200.0;3.0;1.0;6.0;11.0
1400.0;3.0;1.0;5.0;18.0
1100.0;2.0;1.0;11.0;18.0
0.0;3.0;1.0;6.0;12.0
7000.0;3.0;1.0;11.0;14.0
1100.0;3.0;1.0;6.0;14.0
3000.0;3.0;1.0;6.0;12.0
0.0;4.0;1.0;5.0;12.0
0.0;4.0;1.0;5.0;1.0
400.0;3.0;1.0;5.0;18.0
5000.0;3.0;1.0;5.0;18.0
1160.0;3.0;1.0;11.0;18.0
1140.0;3.0;1.0;6.0;18.0
1140.0;3.0;1.0;11.0;18.0
0.0;3.0;1.0;1.0;18.0
1140.0;3.0;1.0;6.0;18.0
1140.0;3.0;1.0;6.0;18.0
7000.0;4.0;1.0;6.0;18.0
1140.0;3.0;1.0;5.0;18.0
0.0;3.0;1.0;5.0;23.0
5280.0;3.0;1.0;6.0;23.0
4500.0;3.0;1.0;6.0;23.0
1140.0;3.0;1.0;6.0;23.0
1110.0;3.0;1.0;5.0;9.0
1140.0;3.0;1.0;6.0;17.0
0.0;3.0;1.0;6.0;10.0
1500.0;3.0;1.0;11.0;3.0
500.0;3.0;1.0;5.0;18.0
3800.0;3.0;1.0;6.0;23.0
3000.0;3.0;1.0;1.0;6.0
1140.0;3.0;1.0;5.0;4.0
5140.0;3.0;1.0;6.0;20.0
1160.0;3.0;1.0;5.0;18.0
0.0;3.0;1.0;11.0;5.0
4140.0;4.0;1.0;6.0;18.0
7000.0;3.0;1.0;6.0;23.0
0.0;3.0;1.0;11.0;18.0
6000.0;4.0;1.0;5.0;23.0
0.0;3.0;1.0;11.0;18.0
1160.0;3.0;1.0;5.0;18.0
3400.0;3.0;1.0;11.0;18.0
1400.0;3.0;1.0;6.0;1.0
3140.0;3.0;1.0;11.0;18.0
0.0;3.0;1.0;6.0;17.0
4000.0;3.0;1.0;5.0;18.0
1160.0;3.0;1.0;5.0;7.0
2280.0;3.0;1.0;5.0;8.0
1140.0;3.0;1.0;5.0;8.0
0.0;3.0;1.0;6.0;7.0
0.0;3.0;1.0;6.0;8.0
1140.0;2.0;1.0;5.0;2.0
0.0;3.0;1.0;4.0;7.0
0.0;3.0;1.0;6.0;8.0
1140.0;3.0;1.0;6.0;7.0
1140.0;3.0;1.0;4.0;8.0
1140.0;3.0;1.0;6.0;8.0
500.0;1.0;1.0;11.0;9.0
1140.0;3.0;1.0;5.0;8.0
3000.0;3.0;1.0;6.0;8.0
1000.0;3.0;1.0;5.0;8.0
3000.0;3.0;1.0;5.0;13.0
4400.0;3.0;1.0;5.0;8.0
2000.0;3.0;1.0;5.0;8.0
1140.0;3.0;1.0;6.0;8.0
0.0;3.0;1.0;6.0;7.0
0.0;3.0;1.0;5.0;8.0
1140.0;3.0;1.0;5.0;8.0
12000.0;4.0;8.0;4.0;30.0
700.0;3.0;1.0;4.0;8.0
0.0;4.0;1.0;4.0;8.0
400.0;3.0;1.0;5.0;8.0
1200.0;3.0;1.0;5.0;8.0
2280.0;3.0;1.0;5.0;8.0
18000.0;4.0;10.0;6.0;25.0
400.0;4.0;1.0;4.0;25.0
3500.0;4.0;1.0;4.0;18.0
0.0;4.0;1.0;6.0;30.0
3660.0;4.0;10.0;6.0;20.0
1160.0;4.0;10.0;6.0;35.0
0.0;4.0;1.0;6.0;20.0
0.0;4.0;1.0;6.0;20.0
1160.0;3.0;1.0;4.0;20.0
13000.0;4.0;1.0;4.0;14.0
3480.0;4.0;1.0;4.0;60.0
3400.0;4.0;1.0;4.0;50.0
1140.0;4.0;1.0;4.0;36.0
1150.0;4.0;1.0;4.0;60.0
1150.0;4.0;1.0;4.0;30.0
2320.0;4.0;10.0;5.0;45.0
0.0;4.0;10.0;4.0;20.0
8000.0;4.0;1.0;4.0;60.0
1160.0;4.0;1.0;6.0;25.0
2320.0;4.0;1.0;6.0;25.0
25000.0;4.0;1.0;6.0;15.0
4000.0;4.0;1.0;5.0;15.0
6000.0;4.0;1.0;5.0;4.0
3000.0;4.0;1.0;5.0;5.0
1050.0;4.0;8.0;5.0;15.0
12000.0;4.0;1.0;5.0;15.0
0.0;3.0;1.0;6.0;15.0
1050.0;3.0;1.0;1.0;15.0
5600.0;3.0;1.0;1.0;3.0
4000.0;3.0;1.0;5.0;15.0
5000.0;4.0;1.0;5.0;14.0
6030.0;4.0;8.0;6.0;15.0
1050.0;4.0;1.0;5.0;15.0
1050.0;4.0;1.0;5.0;5.0
6000.0;4.0;1.0;6.0;9.0
1030.0;4.0;1.0;6.0;13.0
1030.0;3.0;1.0;6.0;14.0
5000.0;4.0;1.0;5.0;4.0
3000.0;4.0;1.0;5.0;11.0
4000.0;3.0;1.0;11.0;18.0
3000.0;3.0;1.0;5.0;19.0
2500.0;4.0;1.0;5.0;1.0
2556.0;3.0;1.0;6.0;14.0
1000.0;3.0;1.0;5.0;15.0
2200.0;3.0;1.0;6.0;14.0
1120.0;4.0;1.0;5.0;18.0
1100.0;3.0;1.0;5.0;14.0
3200.0;3.0;1.0;5.0;14.0
8000.0;4.0;1.0;5.0;1.0
1140.0;3.0;1.0;5.0;11.0
1100.0;3.0;1.0;5.0;12.0
3600.0;3.0;1.0;6.0;14.0
1700.0;4.0;1.0;5.0;1.0
1500.0;3.0;1.0;5.0;15.0
4000.0;2.0;1.0;11.0;18.0
2000.0;3.0;1.0;6.0;12.0
1100.0;3.0;1.0;6.0;18.0
1100.0;3.0;10.0;6.0;12.0
13500.0;4.0;1.0;4.0;3.0
1180.0;3.0;1.0;5.0;18.0
4000.0;4.0;10.0;5.0;18.0
1200.0;3.0;1.0;6.0;12.0
2400.0;3.0;1.0;6.0;12.0
0.0;4.0;10.0;5.0;18.0
0.0;3.0;1.0;6.0;12.0
3000.0;3.0;1.0;6.0;12.0
6500.0;3.0;1.0;6.0;12.0
2000.0;3.0;1.0;5.0;18.0
1140.0;3.0;1.0;5.0;18.0
0.0;4.0;1.0;5.0;16.0
1100.0;3.0;10.0;5.0;18.0
2200.0;3.0;10.0;6.0;12.0
2000.0;4.0;1.0;5.0;12.0
2200.0;3.0;1.0;6.0;14.0
1100.0;3.0;1.0;6.0;15.0
2280.0;4.0;1.0;5.0;18.0
14000.0;3.0;1.0;5.0;18.0
0.0;3.0;1.0;5.0;18.0
1140.0;3.0;1.0;6.0;18.0
1140.0;3.0;1.0;5.0;18.0
3000.0;3.0;1.0;5.0;3.0
0.0;4.0;1.0;5.0;4.0
0.0;3.0;1.0;11.0;23.0
4000.0;4.0;1.0;5.0;18.0
3500.0;4.0;1.0;5.0;18.0
1500.0;4.0;1.0;5.0;10.0
250.0;3.0;1.0;11.0;15.0
1140.0;4.0;1.0;6.0;18.0
20000.0;3.0;8.0;4.0;18.0
0.0;3.0;1.0;5.0;3.0
0.0;3.0;1.0;6.0;2.0
0.0;3.0;1.0;1.0;18.0
3000.0;3.0;1.0;11.0;18.0
0.0;3.0;1.0;11.0;18.0
0.0;3.0;1.0;6.0;18.0
2200.0;3.0;1.0;5.0;10.0
800.0;3.0;1.0;11.0;18.0
1140.0;3.0;1.0;11.0;15.0
1600.0;3.0;1.0;5.0;18.0
2000.0;3.0;1.0;11.0;6.0
6500.0;4.0;1.0;6.0;23.0
1500.0;3.0;1.0;6.0;18.0
1140.0;3.0;1.0;11.0;8.0
2280.0;3.0;1.0;5.0;8.0
500.0;3.0;1.0;5.0;8.0
4140.0;3.0;1.0;6.0;8.0
0.0;3.0;1.0;6.0;8.0
8000.0;3.0;1.0;6.0;8.0
1140.0;3.0;1.0;6.0;7.0
2280.0;3.0;1.0;5.0;8.0
3000.0;3.0;1.0;4.0;8.0
1140.0;3.0;1.0;5.0;8.0
0.0;3.0;1.0;6.0;7.0
1140.0;3.0;1.0;6.0;8.0
1140.0;3.0;1.0;6.0;3.0
1200.0;3.0;1.0;6.0;8.0
1080.0;3.0;1.0;5.0;15.0
2800.0;3.0;1.0;6.0;15.0
1080.0;3.0;1.0;6.0;14.0
3000.0;3.0;1.0;5.0;15.0
500.0;3.0;1.0;11.0;8.0
0.0;3.0;1.0;11.0;15.0
0.0;3.0;1.0;5.0;15.0
2000.0;3.0;1.0;5.0;7.0
1080.0;3.0;1.0;6.0;15.0
2016.0;3.0;8.0;4.0;15.0
0.0;3.0;1.0;6.0;2.0
0.0;3.0;1.0;1.0;15.0
1080.0;3.0;1.0;6.0;15.0
1080.0;3.0;1.0;6.0;15.0
3000.0;3.0;1.0;5.0;1.0
3200.0;3.0;1.0;6.0;15.0
4000.0;3.0;1.0;5.0;15.0
1080.0;3.0;1.0;7.0;14.0
1080.0;3.0;1.0;5.0;15.0
1080.0;3.0;1.0;6.0;15.0
0.0;3.0;1.0;6.0;15.0
2680.0;3.0;1.0;5.0;14.0
0.0;3.0;1.0;11.0;15.0
2160.0;3.0;1.0;6.0;15.0
3000.0;3.0;1.0;6.0;14.0
0.0;3.0;1.0;6.0;15.0
0.0;3.0;1.0;11.0;15.0
0.0;3.0;1.0;6.0;15.0
0.0;3.0;1.0;6.0;15.0
4000.0;3.0;1.0;5.0;15.0
0.0;3.0;1.0;5.0;14.0
1000.0;3.0;1.0;5.0;15.0
1080.0;3.0;1.0;5.0;10.0
0.0;3.0;1.0;11.0;15.0
2160.0;3.0;1.0;5.0;15.0
2000.0;3.0;1.0;5.0;15.0
2160.0;3.0;1.0;6.0;15.0
3000.0;3.0;1.0;5.0;15.0
1080.0;3.0;1.0;11.0;15.0
1080.0;3.0;1.0;5.0;17.0
0.0;3.0;1.0;11.0;15.0
2160.0;3.0;1.0;5.0;15.0
2500.0;3.0;1.0;6.0;15.0
3000.0;3.0;1.0;4.0;10.0
0.0;3.0;1.0;6.0;15.0
5000.0;3.0;1.0;11.0;15.0
1500.0;3.0;1.0;6.0;2.0
800.0;3.0;1.0;6.0;14.0
1080.0;3.0;1.0;4.0;15.0
1080.0;3.0;1.0;11.0;15.0
1160.0;3.0;1.0;5.0;15.0
3000.0;3.0;1.0;5.0;15.0
2080.0;3.0;1.0;6.0;15.0
2200.0;3.0;1.0;1.0;15.0
0.0;4.0;1.0;6.0;14.0
0.0;3.0;1.0;6.0;2.0
0.0;3.0;1.0;5.0;14.0
1080.0;3.0;1.0;6.0;15.0
0.0;3.0;1.0;6.0;15.0
2160.0;3.0;1.0;5.0;10.0
1080.0;3.0;1.0;6.0;15.0
1080.0;3.0;1.0;6.0;14.0
1080.0;3.0;1.0;5.0;15.0
0.0;3.0;1.0;6.0;15.0
0.0;3.0;1.0;11.0;15.0
1080.0;3.0;1.0;5.0;2.0
1080.0;3.0;1.0;5.0;15.0
1080.0;3.0;1.0;6.0;15.0
1080.0;3.0;1.0;6.0;4.0
1680.0;3.0;1.0;6.0;15.0
11000.0;3.0;1.0;5.0;14.0
800.0;3.0;1.0;5.0;1.0
800.0;3.0;1.0;11.0;10.0
1300.0;3.0;1.0;6.0;10.0
1080.0;3.0;1.0;6.0;15.0
1080.0;3.0;1.0;5.0;15.0
0.0;3.0;1.0;3.0;3.0
800.0;3.0;1.0;5.0;1.0
15000.0;3.0;8.0;5.0;2.0
1200.0;3.0;1.0;5.0;10.0
1080.0;3.0;10.0;6.0;15.0
3000.0;3.0;1.0;6.0;1.0
800.0;3.0;1.0;6.0;15.0
1080.0;3.0;1.0;6.0;15.0
4000.0;3.0;1.0;5.0;7.0
0.0;3.0;10.0;5.0;4.0
1080.0;2.0;1.0;11.0;10.0
0.0;3.0;1.0;6.0;15.0
10000.0;3.0;1.0;5.0;11.0
0.0;3.0;1.0;6.0;15.0
4000.0;3.0;1.0;5.0;10.0
2160.0;3.0;1.0;11.0;10.0
4000.0;3.0;1.0;11.0;10.0
1080.0;3.0;1.0;5.0;10.0
0.0;3.0;1.0;4.0;2.0
5000.0;3.0;1.0;11.0;10.0
2500.0;3.0;1.0;6.0;15.0
1080.0;3.0;1.0;6.0;15.0
3000.0;3.0;1.0;6.0;15.0
2000.0;3.0;1.0;6.0;15.0
0.0;3.0;1.0;6.0;15.0
4080.0;3.0;1.0;6.0;15.0
15000.0;3.0;10.0;5.0;10.0
0.0;3.0;1.0;6.0;15.0
0.0;3.0;1.0;6.0;15.0
10000.0;3.0;1.0;5.0;10.0
6000.0;3.0;1.0;5.0;10.0
2800.0;3.0;1.0;5.0;15.0
1080.0;2.0;1.0;11.0;10.0
3080.0;3.0;1.0;6.0;15.0
1080.0;3.0;1.0;6.0;10.0
6080.0;3.0;1.0;6.0;15.0
1000.0;3.0;1.0;6.0;15.0
0.0;3.0;10.0;6.0;15.0
0.0;4.0;1.0;5.0;50.0
15000.0;4.0;1.0;4.0;45.0
1080.0;4.0;10.0;6.0;39.0
15000.0;3.0;10.0;6.0;50.0
250.0;4.0;1.0;4.0;30.0
1000.0;4.0;1.0;4.0;30.0
1080.0;4.0;10.0;4.0;48.0
7000.0;3.0;10.0;6.0;25.0
0.0;4.0;1.0;4.0;2.0
400.0;4.0;1.0;4.0;50.0
5000.0;4.0;1.0;5.0;70.0
2160.0;4.0;8.0;7.0;30.0
1260.0;4.0;10.0;6.0;47.0
1080.0;4.0;10.0;4.0;30.0
2160.0;4.0;10.0;5.0;56.0
0.0;4.0;1.0;6.0;28.0
7000.0;4.0;8.0;5.0;55.0
0.0;4.0;1.0;4.0;41.0
3000.0;4.0;1.0;5.0;60.0
7000.0;4.0;1.0;4.0;50.0
4500.0;4.0;1.0;6.0;40.0
6000.0;4.0;10.0;6.0;31.0
4000.0;4.0;10.0;4.0;37.0
0.0;4.0;10.0;6.0;50.0
1080.0;4.0;10.0;6.0;47.0
1080.0;3.0;1.0;6.0;50.0
8160.0;4.0;1.0;6.0;19.0
4000.0;4.0;7.0;4.0;30.0
5000.0;4.0;10.0;6.0;48.0
1080.0;4.0;1.0;4.0;50.0
3500.0;4.0;1.0;4.0;43.0
0.0;4.0;1.0;5.0;50.0
10000.0;4.0;1.0;4.0;50.0
1080.0;4.0;1.0;4.0;63.0
4000.0;4.0;10.0;6.0;30.0
1080.0;4.0;10.0;6.0;45.0
700.0;4.0;1.0;4.0;7.0
1080.0;4.0;1.0;4.0;40.0
1080.0;4.0;1.0;6.0;37.0
1080.0;4.0;10.0;5.0;50.0
1080.0;4.0;1.0;4.0;9.0
2160.0;4.0;10.0;6.0;40.0
8080.0;4.0;10.0;6.0;40.0
1080.0;4.0;10.0;4.0;39.0
2080.0;4.0;10.0;6.0;55.0
1080.0;4.0;10.0;4.0;34.0
3240.0;4.0;1.0;4.0;40.0
0.0;3.0;10.0;5.0;2.0
16000.0;4.0;1.0;4.0;3.0
4000.0;3.0;1.0;5.0;18.0
8000.0;4.0;1.0;6.0;1.0
4500.0;4.0;10.0;6.0;31.0
5000.0;4.0;10.0;6.0;30.0
0.0;3.0;10.0;4.0;21.0
1080.0;4.0;1.0;4.0;50.0
0.0;4.0;10.0;5.0;5.0
600.0;3.0;1.0;4.0;17.0
0.0;4.0;1.0;4.0;23.0
0.0;3.0;1.0;5.0;7.0
1080.0;3.0;1.0;5.0;7.0
0.0;2.0;1.0;4.0;3.0
2060.0;3.0;1.0;11.0;7.0
2060.0;3.0;1.0;4.0;4.0
3000.0;3.0;1.0;4.0;7.0
13000.0;3.0;1.0;5.0;7.0
1080.0;3.0;1.0;11.0;7.0
0.0;3.0;1.0;5.0;9.0
2160.0;3.0;1.0;5.0;9.0
0.0;3.0;1.0;6.0;5.0
800.0;3.0;1.0;5.0;5.0
0.0;3.0;1.0;6.0;2.0
0.0;3.0;1.0;6.0;9.0
1080.0;3.0;1.0;6.0;9.0
1080.0;3.0;1.0;4.0;4.0
1080.0;3.0;1.0;6.0;3.0
1080.0;3.0;1.0;5.0;7.0
5000.0;3.0;1.0;5.0;10.0
6200.0;3.0;1.0;6.0;9.0
500.0;3.0;1.0;6.0;9.0
1080.0;3.0;1.0;11.0;4.0
1080.0;3.0;1.0;11.0;5.0
0.0;3.0;1.0;11.0;7.0
1080.0;3.0;1.0;5.0;7.0
3500.0;3.0;1.0;6.0;9.0
1080.0;3.0;1.0;6.0;9.0
2500.0;3.0;1.0;6.0;9.0
0.0;3.0;1.0;5.0;3.0
1080.0;3.0;1.0;6.0;9.0
2800.0;3.0;1.0;6.0;9.0
5660.0;3.0;1.0;6.0;9.0
4500.0;3.0;1.0;4.0;9.0
0.0;3.0;1.0;11.0;9.0
1080.0;3.0;1.0;5.0;7.0
3080.0;3.0;1.0;6.0;9.0
1200.0;3.0;1.0;6.0;3.0
1080.0;3.0;1.0;6.0;4.0
1080.0;3.0;1.0;5.0;5.0
0.0;3.0;1.0;5.0;7.0
0.0;3.0;1.0;5.0;7.0
11000.0;4.0;8.0;4.0;7.0
11000.0;4.0;1.0;5.0;7.0
0.0;3.0;1.0;4.0;6.0
0.0;3.0;1.0;5.0;6.0
1500.0;3.0;1.0;4.0;7.0
2000.0;3.0;1.0;5.0;7.0
1080.0;3.0;1.0;6.0;9.0
0.0;3.0;1.0;6.0;9.0
0.0;3.0;1.0;4.0;7.0
1080.0;3.0;1.0;6.0;1.0
500.0;3.0;1.0;6.0;7.0
0.0;3.0;1.0;5.0;7.0
0.0;3.0;1.0;5.0;3.0
800.0;2.0;1.0;1.0;3.0
6800.0;3.0;1.0;6.0;6.0
1080.0;3.0;1.0;6.0;7.0
1000.0;2.0;1.0;5.0;1.0
0.0;3.0;1.0;5.0;5.0
1080.0;2.0;1.0;4.0;6.0
3000.0;3.0;1.0;4.0;7.0
1200.0;3.0;1.0;6.0;8.0
0.0;3.0;1.0;6.0;3.0
600.0;3.0;1.0;5.0;1.0
2200.0;3.0;1.0;5.0;10.0
30000.0;4.0;8.0;4.0;14.0
0.0;3.0;1.0;4.0;11.0
1000.0;3.0;1.0;5.0;3.0
1200.0;3.0;10.0;4.0;9.0
1220.0;3.0;1.0;5.0;20.0
800.0;3.0;1.0;5.0;11.0
2000.0;3.0;1.0;5.0;16.0
1200.0;3.0;1.0;6.0;9.0
1200.0;3.0;1.0;6.0;11.0
0.0;3.0;1.0;5.0;5.0
1600.0;3.0;1.0;6.0;11.0
0.0;3.0;1.0;6.0;11.0
1200.0;3.0;1.0;5.0;11.0
1200.0;3.0;1.0;6.0;11.0
400.0;3.0;1.0;6.0;5.0
4000.0;3.0;1.0;5.0;11.0
1200.0;3.0;1.0;5.0;11.0
16000.0;4.0;8.0;4.0;11.0
1200.0;3.0;1.0;5.0;11.0
400.0;3.0;1.0;4.0;11.0
0.0;4.0;8.0;4.0;7.0
0.0;2.0;1.0;6.0;8.0
2000.0;3.0;1.0;5.0;11.0
1200.0;3.0;1.0;5.0;12.0
